filename,caption
00000_00.jpg,levi's t shirt with logo print
00001_00.jpg,a black t shirt with a red logo on the chest
00002_00.jpg,a black shirt with a long sleeve
00003_00.jpg,a woman wearing a navy shirt with a pocket
00005_00.jpg,levi's t shirt with red box logo
00007_00.jpg,adidas originals 3 stripes tee t shirt print lila
00009_00.jpg,a black t shirt with white stripes and a white logo
00010_00.jpg,calvin klein jeans logo t shirt
00011_00.jpg,adidas originals 3 stripes bodysuit body black
00012_00.jpg,a black sweatshirt with the word obey on it
00014_00.jpg,a black blouse with pleas and a long sleeve
00015_00.jpg,adidas 3 stripes tee t shirt basic grey
00016_00.jpg,a white and black top with a pattern
00018_00.jpg,a black blouse with a tie on the neck
00019_00.jpg,a black t shirt with the logo of the brand
00022_00.jpg,a leopard print top with a long sleeve
00023_00.jpg,a black and white drawing of a woman's turtle neck top
00024_00.jpg,a striped top with a v neck
00025_00.jpg,a bodysuit with a long sleeve and a bodysuit
00026_00.jpg,a bodysuit with a blue stripe on the side
00028_00.jpg,guess logo long sleeve t shirt
00029_00.jpg,a black t shirt with a floral print on the chest
00030_00.jpg,adidas originals 3 stripes tee t shirt basic blue
00031_00.jpg,adidas originals 3 stripes long sleeve tee long sleeved top red
00032_00.jpg,a brown shirt with a horse pattern on it
00033_00.jpg,a blouse with a tie on the neck
00036_00.jpg,a black shirt with buttons on the collar
00038_00.jpg,a black t shirt with a pink logo on the chest
00040_00.jpg,a grey t shirt with a white logo
00041_00.jpg,tommy hilfiger t shirt basic white
00042_00.jpg,a shirt with a flower pattern on it
00043_00.jpg,a pink t shirt with a slogan on it
00044_00.jpg,adidas originals tref t shirt purple / white
00045_00.jpg,a white pepsi t shirt with a pepsi logo on the front
00046_00.jpg,tommy jeans t shirt basic logo black
00047_00.jpg,a black top with a bell sleeve
00048_00.jpg,a white shirt with a v neck
00049_00.jpg,champion t shirt black
00050_00.jpg,a black sweater with a long sleeve and a round neck
00051_00.jpg,a white shirt with a tie on the front
00052_00.jpg,a white t shirt with a black logo on the front
00053_00.jpg,tommy hilfiger t shirt in navy
00054_00.jpg,a leopard print t shirt with a pink heart on the chest
00056_00.jpg,champion cropped sweatshirt in black
00058_00.jpg,a blue and white striped shirt
00059_00.jpg,a pink tie dye top with a long sleeve
00061_00.jpg,a white shirt with a tie on the neck
00062_00.jpg,polo shirt with logo on the chest
